Brand,Model,Condition,Manufactured_Year,Mileage(min),Mileage(max),Engine_Capacity(cc),Transmission,Price_Depreciation_Percentage (From 2014 - 2018),Market_Price_2010,Market_Price_2012,Market_Price_2014,Current_Price(2018)
Honda,City,Used,2008,70000,74999,1500,Auto,-64.48,45000,58000,67000,23800
Honda,City,Used,2008,80000,84999,1500,Auto,-61.61,42000,54000,62000,23800
Honda,City,Used,2008,200000,249999,1500,Auto,-61.45,42000,54000,62000,23900
Honda,City,Used,2008,120000,129999,1500,Auto,-58.87,42000,54000,62000,25500
Honda,City,Used,2008,95000,99999,1500,Auto,-65.23,42000,54000,62000,21555
Honda,City,Used,2008,150000,159999,1500,Auto,-68.06,42000,54000,62000,19800
Honda,City,Used,2008,110000,119999,1500,Auto,-65.97,45000,58000,67000,22800
Honda,City,Used,2008,90000,94999,1500,Auto,-62.9,42000,54000,62000,23000
Honda,City,Used,2008,120000,129999,1500,Auto,-71.94,45000,58000,67000,18800
Honda,City,Used,2008,75000,79999,1500,Auto,-53.55,42000,54000,62000,28800
Honda,City,Used,2008,90000,94999,1500,Auto,-56.65,42000,54000,62000,26880
Honda,City,Used,2008,90000,94999,1500,Auto,-60.32,42000,54000,62000,24600
Honda,City,Used,2008,90000,94999,1500,Auto,-56.65,42000,54000,62000,26880
Honda,City,Used,2008,90000,94999,1500,Auto,-53.55,42000,54000,62000,28800
Honda,City,Used,2008,90000,94999,1500,Auto,-28.09,36000,36000,36000,25888
Honda,City,Used,2008,110000,119999,1500,Auto,-62.24,45000,58000,67000,25300
Honda,City,Used,2008,95000,99999,1500,Auto,-74.63,45000,58000,67000,16999
Honda,City,Used,2008,140000,149999,1500,Auto,-60,45000,58000,67000,26800
Honda,City,Used,2008,90000,94999,1500,Auto,-42.5,36000,36000,36000,20700
Honda,City,Used,2008,130000,139999,1500,Auto,-60,45000,58000,67000,26800
Honda,City,Used,2008,140000,149999,1500,Auto,-60,42000,54000,62000,24800
Honda,City,Used,2008,120000,129999,1500,Auto,-61.94,45000,58000,67000,25500
Honda,City,Used,2008,90000,94999,1500,Auto,-68.06,42000,54000,62000,19800
Honda,City,Used,2008,95000,99999,1500,Auto,-59.68,42000,54000,62000,24999
Honda,City,Used,2008,75000,79999,1500,Auto,-28.33,36000,36000,36000,25800
Honda,City,Used,2008,80000,84999,1500,Auto,-31.11,36000,36000,36000,24800
Honda,City,Used,2008,85000,89999,1500,Auto,-60,42000,54000,62000,24800
Honda,City,Used,2008,70000,74999,1500,Auto,-63.23,42000,54000,62000,22800
Honda,City,Used,2008,160000,169999,1500,Auto,-70.97,42000,54000,62000,18000
Honda,City,Used,2008,90000,94999,1500,Auto,-38.89,36000,36000,36000,21999
Honda,City,Used,2008,95000,99999,1500,Auto,-55.52,45000,58000,67000,29800
Honda,City,Used,2008,100000,109999,1500,Auto,-63.06,42000,54000,62000,22900
Honda,City,Used,2008,120000,129999,1500,Auto,-56.77,42000,54000,62000,26800
Honda,City,Used,2008,90000,94999,1500,Auto,-20,36000,36000,36000,28800
Honda,City,Used,2008,110000,119999,1500,Auto,-79.05,42000,54000,62000,12990
Honda,City,Used,2008,100000,109999,1500,Auto,-62.69,45000,58000,67000,25000
Honda,City,Used,2008,160000,169999,1500,Auto,-61.49,45000,58000,67000,25800
Honda,City,Used,2008,70000,74999,1500,Auto,-58.39,42000,54000,62000,25800
Honda,City,Used,2008,140000,149999,1500,Auto,-55.16,42000,54000,62000,27800
Honda,City,Used,2008,170000,179999,1500,Auto,-55.16,42000,54000,62000,27800
Honda,City,Used,2008,130000,139999,1500,Auto,-61.61,42000,54000,62000,23800
Honda,City,Used,2008,100000,109999,1500,Auto,-65.84,45000,58000,67000,22888
Honda,City,Used,2008,95000,99999,1500,Auto,-34.72,36000,36000,36000,23500
Honda,City,Used,2008,70000,74999,1500,Auto,-56.45,42000,54000,62000,27000
Honda,City,Used,2008,90000,94999,1500,Auto,-68.81,45000,58000,67000,20900
Honda,City,Used,2008,130000,139999,1500,Auto,-56.77,42000,54000,62000,26800
Honda,City,Used,2008,120000,129999,1500,Auto,-61.61,42000,54000,62000,23800
Honda,City,Used,2008,75000,79999,1500,Auto,-42.11,38000,38000,38000,22000
Honda,City,Used,2008,95000,99999,1500,Auto,-61.61,42000,54000,62000,23800
Honda,City,Used,2008,100000,109999,1500,Auto,-53.55,42000,54000,62000,28800
Honda,City,Used,2008,120000,129999,1500,Auto,-40,38000,38000,38000,22800
Honda,City,Used,2008,120000,129999,1500,Auto,-63.23,42000,54000,62000,22800
Honda,City,Used,2008,120000,129999,1500,Auto,-61.61,42000,54000,62000,23800
Honda,City,Used,2008,120000,129999,1500,Auto,-74.21,42000,54000,62000,15990
Honda,City,Used,2008,65000,69999,1500,Auto,-37.37,38000,38000,38000,23800
Honda,City,Used,2008,90000,94999,1500,Auto,-36.48,36000,36000,36000,22866
Honda,City,Used,2008,110000,119999,1500,Auto,-61.29,42000,54000,62000,23999
Honda,City,Used,2008,100000,109999,1500,Auto,-64.48,45000,58000,67000,23800
Honda,City,Used,2008,150000,159999,1500,Auto,-34.74,38000,38000,38000,24800
Honda,City,Used,2008,170000,179999,1500,Auto,-66.68,45000,58000,67000,22322
Perodua,MyVi,Used,2008,70000,74999,1300,Auto,-56.18,24000,30000,34000,14900
Perodua,MyVi,Used,2008,110000,119999,1300,Auto,-47.06,24000,30000,34000,18000
